zipcode,score,name,latitude,longitude
20735,0.7024994845,"CLINTON, MD 20735",38.75,-76.9
20740,0.7223604118,"COLLEGE PARK, MD 20740",39,-76.93
20747,0.5701080226,"DISTRICT HEIGHTS, MD 20747",38.85,-76.89
20748,0.5591154871,"TEMPLE HILLS, MD 20748",38.82,-76.94
20759,0.534081254,"FULTON, MD 20759",39.16,-76.92
20770,0.5285194377,"GREENBELT, MD 20770",39,-76.88
20772,0.5941423916,"UPPER MARLBORO, MD 20772",38.79,-76.78
20774,0.796573486,"UPPER MARLBORO, MD 20774",38.89,-76.8
20814,0.918965287,"BETHESDA, MD 20814",39,-77.1
20815,0.7654661674,"CHEVY CHASE, MD 20815",38.98,-77.08
20817,0.6584088943,"BETHESDA, MD 20817",39,-77.14
20850,1,"ROCKVILLE, MD 20850",39.09,-77.17
20852,0.957471699,"ROCKVILLE, MD 20852",39.05,-77.12
20854,0.7349698208,"POTOMAC, MD 20854",39.04,-77.2
20855,0.5180076767,"DERWOOD, MD 20855",39.13,-77.14
20874,0.6286345016,"GERMANTOWN, MD 20874",39.16,-77.28
20877,0.5092106965,"GAITHERSBURG, MD 20877",39.14,-77.19
20878,0.7096334606,"GAITHERSBURG, MD 20878",39.12,-77.24
20879,0.6090529473,"GAITHERSBURG, MD 20879",39.17,-77.18
20895,0.5629447328,"KENSINGTON, MD 20895",39.03,-77.08
20902,0.5198069555,"SILVER SPRING, MD 20902",39.04,-77.05
20904,0.6136081397,"SILVER SPRING, MD 20904",39.07,-76.97
20910,0.8184634206,"SILVER SPRING, MD 20910",39,-77.03
21014,0.5523309998,"BEL AIR, MD 21014",39.54,-76.35
21030,0.8034975713,"COCKEYSVILLE, MD 21030",39.48,-76.65
21037,0.5018357304,"EDGEWATER, MD 21037",38.92,-76.54
21042,0.5307760961,"ELLICOTT CITY, MD 21042",39.27,-76.87
21043,0.5228880573,"ELLICOTT CITY, MD 21043",39.26,-76.8
21044,0.5339244073,"COLUMBIA, MD 21044",39.21,-76.88
21045,0.7204253408,"COLUMBIA, MD 21045",39.2,-76.82
21046,0.6607532778,"COLUMBIA, MD 21046",39.17,-76.84
21054,0.5492934172,"GAMBRILLS, MD 21054",39.04,-76.68
21061,0.6508135552,"GLEN BURNIE, MD 21061",39.16,-76.63
21075,0.5819793938,"ELKRIDGE, MD 21075",39.2,-76.76
21076,0.5023475524,"HANOVER, MD 21076",39.16,-76.72
21093,0.8199238604,"LUTHERVILLE TIMONIUM, MD 21093",39.44,-76.63
21108,0.597362943,"MILLERSVILLE, MD 21108",39.1,-76.62
21113,0.5529072172,"ODENTON, MD 21113",39.08,-76.71
21114,0.5737161323,"CROFTON, MD 21114",39.01,-76.68
21117,0.9138223576,"OWINGS MILLS, MD 21117",39.42,-76.78
21122,0.6608588801,"PASADENA, MD 21122",39.13,-76.52
21136,0.6062125523,"REISTERSTOWN, MD 21136",39.47,-76.82
21152,0.5612887256,"SPARKS GLENCOE, MD 21152",39.54,-76.67
21157,0.5955261629,"WESTMINSTER, MD 21157",39.56,-76.99
21204,0.7632633326,"TOWSON, MD 21204",39.41,-76.63
21208,0.8286568032,"PIKESVILLE, MD 21208",39.38,-76.73
21210,0.6045492914,"BALTIMORE, MD 21210",39.35,-76.63
21220,0.5120117042,"MIDDLE RIVER, MD 21220",39.34,-76.41
21222,0.5027475966,"DUNDALK, MD 21222",39.26,-76.51
21224,0.6430732709,"BALTIMORE, MD 21224",39.28,-76.55
21227,0.5605273153,"HALETHORPE, MD 21227",39.24,-76.68
21228,0.7021689093,"CATONSVILLE, MD 21228",39.28,-76.74
21230,0.5574138505,"BALTIMORE, MD 21230",39.27,-76.63
21234,0.5762366009,"PARKVILLE, MD 21234",39.39,-76.54
21236,0.6509953845,"NOTTINGHAM, MD 21236",39.39,-76.49
21244,0.5541929032,"WINDSOR MILL, MD 21244",39.33,-76.76
21286,0.6749550164,"TOWSON, MD 21286",39.4,-76.58
21401,1,"ANNAPOLIS, MD 21401",38.99,-76.53
21701,0.7077319114,"FREDERICK, MD 21701",39.43,-77.38
21702,0.5779256814,"FREDERICK, MD 21702",39.45,-77.44
21703,0.5939151986,"FREDERICK, MD 21703",39.38,-77.45
21784,0.6186505759,"SYKESVILLE, MD 21784",39.4,-76.96
21921,0.5950203114,"ELKTON, MD 21921",39.63,-75.85
22003,0.6459455474,"ANNANDALE, VA 22003",38.83,-77.22
22030,0.9219076379,"FAIRFAX, VA 22030",38.85,-77.33
22031,0.7356974935,"FAIRFAX, VA 22031",38.86,-77.26
22033,0.5983257075,"FAIRFAX, VA 22033",38.87,-77.38
22042,0.6971450834,"FALLS CHURCH, VA 22042",38.87,-77.19
22043,0.5329104949,"FALLS CHURCH, VA 22043",38.9,-77.2
22079,0.6561250582,"LORTON, VA 22079",38.7,-77.21
22101,0.750354109,"MC LEAN, VA 22101",38.93,-77.17
22102,0.6861403825,"MC LEAN, VA 22102",38.94,-77.22
22150,0.549643403,"SPRINGFIELD, VA 22150",38.78,-77.18
22180,0.6381721538,"VIENNA, VA 22180",38.89,-77.26
22182,0.7985970864,"VIENNA, VA 22182",38.93,-77.26
22191,0.5461300992,"WOODBRIDGE, VA 22191",38.63,-77.27
22192,0.7641753082,"WOODBRIDGE, VA 22192",38.68,-77.3
22193,0.5357168355,"WOODBRIDGE, VA 22193",38.64,-77.34
22203,0.509702858,"ARLINGTON, VA 22203",38.87,-77.11
22209,0.5231074285,"ARLINGTON, VA 22209",38.89,-77.08
22304,0.5486970243,"ALEXANDRIA, VA 22304",38.82,-77.11
22310,0.5505474536,"ALEXANDRIA, VA 22310",38.79,-77.12
22312,0.598146691,"ALEXANDRIA, VA 22312",38.82,-77.15
22314,0.9873926253,"ALEXANDRIA, VA 22314",38.81,-77.05
22315,0.5231469181,"ALEXANDRIA, VA 22315",38.76,-77.15
22401,0.7260975219,"FREDERICKSBURG, VA 22401",38.3,-77.48
22406,0.6005429643,"FREDERICKSBURG, VA 22406",38.38,-77.54
22407,0.8972314819,"FREDERICKSBURG, VA 22407",38.27,-77.56
22408,0.8352762458,"FREDERICKSBURG, VA 22408",38.24,-77.46
22408,0.6489279964,"FREDERICKSBURG, VA 22408",38.24,-77.46
22554,0.6180296688,"STAFFORD, VA 22554",38.45,-77.39
22556,0.6716400626,"STAFFORD, VA 22556",38.48,-77.48
23005,0.6205777171,"ASHLAND, VA 23005",37.76,-77.48
23059,0.6759013989,"GLEN ALLEN, VA 23059",37.69,-77.55
23060,0.816025772,"GLEN ALLEN, VA 23060",37.66,-77.53
23111,0.5955988799,"MECHANICSVILLE, VA 23111",37.61,-77.3
23112,0.7278007373,"MIDLOTHIAN, VA 23112",37.43,-77.65
23113,0.8471795053,"MIDLOTHIAN, VA 23113",37.53,-77.65
23114,0.7144151815,"MIDLOTHIAN, VA 23114",37.48,-77.65
23116,0.6553765912,"MECHANICSVILLE, VA 23116",37.66,-77.37
23139,0.6361423659,"POWHATAN, VA 23139",37.55,-77.91
23185,0.9630039263,"WILLIAMSBURG, VA 23185",37.25,-76.69
23220,0.545040034,"RICHMOND, VA 23220",37.55,-77.46
23221,0.5565810157,"RICHMOND, VA 23221",37.56,-77.49
23223,0.5528728652,"RICHMOND, VA 23223",37.55,-77.4
23224,0.5281376672,"RICHMOND, VA 23224",37.5,-77.46
23225,0.8794514906,"RICHMOND, VA 23225",37.52,-77.5
23226,1,"RICHMOND, VA 23226",37.58,-77.52
23227,0.6398768468,"RICHMOND, VA 23227",37.6,-77.45
23228,0.8296132131,"HENRICO, VA 23228",37.62,-77.49
23229,0.9699876667,"HENRICO, VA 23229",37.59,-77.57
23230,0.7442428111,"RICHMOND, VA 23230",37.58,-77.49
23233,0.7866627513,"HENRICO, VA 23233",37.64,-77.62
23235,0.9693464321,"RICHMOND, VA 23235",37.52,-77.57
23236,0.8072987811,"RICHMOND, VA 23236",37.47,-77.59
23238,0.8221595427,"HENRICO, VA 23238",37.61,-77.62
23294,0.7429265084,"HENRICO, VA 23294",37.63,-77.54
23805,0.5405437274,"PETERSBURG, VA 23805",37.16,-77.39
23831,0.7930770903,"CHESTER, VA 23831",37.35,-77.44
23832,0.5528402251,"CHESTERFIELD, VA 23832",37.4,-77.58
23834,0.5144874135,"COLONIAL HEIGHTS, VA 23834",37.27,-77.4
23836,0.505910071,"CHESTER, VA 23836",37.34,-77.35
23901,0.5099857817,"FARMVILLE, VA 23901",37.31,-78.4
27330,0.6788526937,"SANFORD, NC 27330",35.5,-79.18
27502,0.5502730201,"APEX, NC 27502",35.73,-78.87
27502,0.5222512868,"APEX, NC 27502",35.73,-78.87
27511,0.8130819422,"CARY, NC 27511",35.77,-78.78
27513,0.8142250692,"CARY, NC 27513",35.8,-78.8
27514,0.7278825285,"CHAPEL HILL, NC 27514",35.95,-79.04
27516,0.5453414379,"CHAPEL HILL, NC 27516",35.91,-79.1
27517,0.8278252492,"CHAPEL HILL, NC 27517",35.9,-79.02
27518,0.9190007562,"CARY, NC 27518",35.73,-78.77
27519,0.5179522742,"CARY, NC 27519",35.81,-78.88
27520,0.6301075253,"CLAYTON, NC 27520",35.63,-78.46
27526,0.5615155304,"FUQUAY VARINA, NC 27526",35.58,-78.8
27529,0.5203120528,"GARNER, NC 27529",35.68,-78.6
27560,0.8305320265,"MORRISVILLE, NC 27560",35.85,-78.83
27560,0.7887026877,"MORRISVILLE, NC 27560",35.85,-78.83
27587,1,"WAKE FOREST, NC 27587",35.97,-78.52
27596,0.6531243914,"YOUNGSVILLE, NC 27596",36.02,-78.47
27603,0.715155718,"RALEIGH, NC 27603",35.71,-78.66
27604,0.6012795197,"RALEIGH, NC 27604",35.82,-78.58
27606,0.5300662438,"RALEIGH, NC 27606",35.76,-78.72
27607,0.8783446544,"RALEIGH, NC 27607",35.8,-78.71
27609,0.7606183315,"RALEIGH, NC 27609",35.84,-78.63
27612,0.9139257185,"RALEIGH, NC 27612",35.85,-78.7
27613,0.6949279544,"RALEIGH, NC 27613",35.9,-78.71
